order,Kecamatan,Latitude,Longitude
470,Andir,-6.893823947,107.5633664
471,Andir,-6.893817996,107.5633839
472,Andir,-6.89381787,107.5634074
473,Andir,-6.893825049,107.5634338
474,Andir,-6.893838107,107.5634559
475,Andir,-6.893846782,107.5634764
476,Andir,-6.893855471,107.5634941
477,Andir,-6.893856715,107.5635351
478,Andir,-6.893840327,107.5635878
479,Andir,-6.893827009,107.5636141
480,Andir,-6.893788629,107.5636725
481,Andir,-6.893732927,107.5637099
482,Andir,-6.893698814,107.5637331
483,Andir,-6.893641832,107.5637955
484,Andir,-6.893617845,107.5638238
485,Andir,-6.893536313,107.5638789
486,Andir,-6.893508367,107.5639127
487,Andir,-6.893503104,107.5639354
488,Andir,-6.893506056,107.5639601
489,Andir,-6.893534472,107.5640302
490,Andir,-6.893561914,107.5640901
491,Andir,-6.893565812,107.5641302
492,Andir,-6.893563424,107.564192
493,Andir,-6.893564137,107.5642507
494,Andir,-6.893586715,107.5643122
495,Andir,-6.893617105,107.5643822
496,Andir,-6.893625693,107.5643898
497,Andir,-6.893640441,107.5644316
498,Andir,-6.893631792,107.5644348
499,Andir,-6.893603652,107.5644471
500,Andir,-6.893578789,107.564457
501,Andir,-6.893568548,107.5644573
502,Andir,-6.893526877,107.5644856
503,Andir,-6.893501461,107.5645017
504,Andir,-6.893423516,107.5645559
505,Andir,-6.89335316,107.5646035
506,Andir,-6.893320481,107.5646256
507,Andir,-6.893249108,107.5646715
508,Andir,-6.893194185,107.5646979
509,Andir,-6.893148054,107.5647253
510,Andir,-6.893107144,107.5647541
511,Andir,-6.893076926,107.5647717
512,Andir,-6.893047352,107.5647792
513,Andir,-6.892974428,107.5647899
514,Andir,-6.892949418,107.5647985
515,Andir,-6.892917381,107.5648181
516,Andir,-6.89284927,107.5648746
517,Andir,-6.89280057,107.5648957
518,Andir,-6.892743596,107.5649138
519,Andir,-6.892699357,107.5649286
520,Andir,-6.892644051,107.5649471
521,Andir,-6.892626416,107.5649533
522,Andir,-6.892619198,107.5649579
523,Andir,-6.892565811,107.5649895
524,Andir,-6.892526003,107.5650098
525,Andir,-6.892509645,107.5650149
526,Andir,-6.89249533,107.5650008
527,Andir,-6.892466221,107.5649829
528,Andir,-6.892438797,107.5649582
529,Andir,-6.892419229,107.5649319
530,Andir,-6.892396822,107.5648973
531,Andir,-6.892343228,107.5648492
532,Andir,-6.892335978,107.5648209
533,Andir,-6.892311758,107.5647647
534,Andir,-6.892280092,107.5647163
535,Andir,-6.892244734,107.5646661
536,Andir,-6.89222735,107.5646295
537,Andir,-6.892208079,107.5645992
538,Andir,-6.892189839,107.5645786
539,Andir,-6.892175844,107.5645826
540,Andir,-6.892140744,107.5646055
541,Andir,-6.89208126,107.5646268
542,Andir,-6.89202823,107.5646445
543,Andir,-6.891969885,107.5646692
544,Andir,-6.891953786,107.5646742
545,Andir,-6.891941755,107.5646847
546,Andir,-6.891934911,107.564691
547,Andir,-6.891909153,107.5647022
548,Andir,-6.891872969,107.5647176
549,Andir,-6.891854974,107.5647057
550,Andir,-6.891708093,107.5647496
551,Andir,-6.891480549,107.5647739
552,Andir,-6.891389838,107.5647714
553,Andir,-6.891466161,107.5649705
554,Andir,-6.891656601,107.5654409
555,Andir,-6.891710009,107.5655706
556,Andir,-6.891751379,107.5657032
557,Andir,-6.89181228,107.5658944
558,Andir,-6.891830983,107.5659805
559,Andir,-6.891836191,107.5660679
560,Andir,-6.891814088,107.5660863
561,Andir,-6.891759247,107.5661208
562,Andir,-6.891768283,107.5661564
563,Andir,-6.891868829,107.5664555
564,Andir,-6.891945466,107.5666126
565,Andir,-6.89201548,107.5666913
566,Andir,-6.892079394,107.5667679
567,Andir,-6.892133367,107.5668222
568,Andir,-6.892210691,107.5668709
569,Andir,-6.8922682,107.5668883
570,Andir,-6.892410672,107.5667916
571,Andir,-6.892458176,107.5668845
572,Andir,-6.892477299,107.5668991
573,Andir,-6.89252235,107.5668847
574,Andir,-6.892562464,107.5668773
575,Andir,-6.892641935,107.5668626
576,Andir,-6.89270084,107.5668758
577,Andir,-6.892737713,107.5669085
578,Andir,-6.892791981,107.5669406
579,Andir,-6.89284839,107.5669962
580,Andir,-6.892890263,107.5670084
581,Andir,-6.892932449,107.5670327
582,Andir,-6.893036639,107.5670815
583,Andir,-6.893068699,107.5670962
584,Andir,-6.893108693,107.5671296
585,Andir,-6.893144769,107.5671522
586,Andir,-6.893152936,107.5671943
587,Andir,-6.893193218,107.5672669
588,Andir,-6.893229156,107.5673071
589,Andir,-6.893335109,107.5674459
590,Andir,-6.893419081,107.5675726
591,Andir,-6.893469016,107.5676366
592,Andir,-6.89356778,107.5677707
593,Andir,-6.893598333,107.5678364
594,Andir,-6.893611454,107.5678596
595,Andir,-6.893621026,107.5678666
596,Andir,-6.893630373,107.5678672
597,Andir,-6.893644157,107.5678636
598,Andir,-6.893654669,107.5678594
599,Andir,-6.893762367,107.5677971
600,Andir,-6.893901615,107.5677113
601,Andir,-6.893923397,107.5677184
602,Andir,-6.893964836,107.5677105
603,Andir,-6.894076678,107.5677315
604,Andir,-6.894160864,107.5677624
605,Andir,-6.894272846,107.5678533
606,Andir,-6.894322764,107.5678894
607,Andir,-6.894339289,107.567897
608,Andir,-6.89437442,107.5679107
609,Andir,-6.894424011,107.5679126
610,Andir,-6.894460954,107.5679199
611,Andir,-6.894467448,107.5679259
612,Andir,-6.894505361,107.5679552
613,Andir,-6.8945644,107.5679999
614,Andir,-6.894585137,107.5680187
615,Andir,-6.894608578,107.5680417
616,Andir,-6.894665195,107.5680858
617,Andir,-6.894708061,107.5681137
618,Andir,-6.894752472,107.5681323
619,Andir,-6.894795489,107.5681318
620,Andir,-6.894826417,107.5681324
621,Andir,-6.894876764,107.5681265
622,Andir,-6.894917368,107.5681282
623,Andir,-6.894978652,107.5681372
624,Andir,-6.895056282,107.5681478
625,Andir,-6.895129128,107.5681636
626,Andir,-6.895214693,107.5681807
627,Andir,-6.895238534,107.5681903
628,Andir,-6.895292966,107.5682123
629,Andir,-6.895382363,107.5682417
630,Andir,-6.895448354,107.568264
631,Andir,-6.895522288,107.5682882
632,Andir,-6.89559602,107.5683053
633,Andir,-6.895637264,107.5683147
634,Andir,-6.8957197,107.5683438
635,Andir,-6.895799133,107.5683592
636,Andir,-6.895825931,107.5683697
637,Andir,-6.895852875,107.5683938
638,Andir,-6.895853478,107.5683943
639,Andir,-6.895892445,107.5684645
640,Andir,-6.895927562,107.5684863
641,Andir,-6.896053906,107.5685299
642,Andir,-6.896107017,107.5685416
643,Andir,-6.896206946,107.5685721
644,Andir,-6.896225175,107.5685512
645,Andir,-6.896249491,107.5685323
646,Andir,-6.896284975,107.5685343
647,Andir,-6.896339693,107.5685195
648,Andir,-6.896369076,107.5685152
649,Andir,-6.89640352,107.568514
650,Andir,-6.896444037,107.5685222
651,Andir,-6.896471384,107.5685398
652,Andir,-6.896511887,107.5685803
653,Andir,-6.896530785,107.5686084
654,Andir,-6.896556262,107.568629
655,Andir,-6.896587628,107.5686414
656,Andir,-6.896634155,107.5686422
657,Andir,-6.896679659,107.5686348
658,Andir,-6.896737592,107.568604
659,Andir,-6.89677084,107.5688139
660,Andir,-6.896822731,107.5691687
661,Andir,-6.896918591,107.5698726
662,Andir,-6.896978368,107.5702737
663,Andir,-6.897008933,107.5705448
664,Andir,-6.897047581,107.5708014
665,Andir,-6.897051651,107.5709377
666,Andir,-6.897026933,107.5710674
667,Andir,-6.896952285,107.5712513
668,Andir,-6.89703076,107.5712486
669,Andir,-6.897129029,107.5712125
670,Andir,-6.897209077,107.5712594
671,Andir,-6.897213559,107.5713344
672,Andir,-6.897260427,107.5717065
673,Andir,-6.897274843,107.5718791
674,Andir,-6.897287567,107.5719123
675,Andir,-6.897330342,107.5721838
676,Andir,-6.89737896,107.5725999
677,Andir,-6.89743408,107.572991
678,Andir,-6.897453486,107.5731521
679,Andir,-6.897516278,107.5735314
680,Andir,-6.89753654,107.5735717
681,Andir,-6.897578477,107.5738282
682,Andir,-6.89767404,107.5743401
683,Andir,-6.897709057,107.5745205
684,Andir,-6.897718915,107.5746558
685,Andir,-6.897751867,107.5748255
686,Andir,-6.897795134,107.5748233
687,Andir,-6.897898548,107.5748009
688,Andir,-6.898011569,107.5747709
689,Andir,-6.898103559,107.5747388
690,Andir,-6.898366325,107.574679
691,Andir,-6.898523494,107.5746205
692,Andir,-6.898801336,107.5745321
693,Andir,-6.899031387,107.5744376
694,Andir,-6.899217393,107.5743525
695,Andir,-6.899499288,107.5742219
696,Andir,-6.899771493,107.5741143
697,Andir,-6.900079668,107.5739877
698,Andir,-6.900608048,107.5738276
699,Andir,-6.900953096,107.5736917
700,Andir,-6.901027871,107.5736595
701,Andir,-6.901035676,107.5736309
702,Andir,-6.901007573,107.5735216
703,Andir,-6.90097216,107.5733492
704,Andir,-6.900945861,107.57326
705,Andir,-6.900935066,107.5731336
706,Andir,-6.900922245,107.5730283
707,Andir,-6.90090205,107.5728712
708,Andir,-6.900900789,107.5727506
709,Andir,-6.900914684,107.5726569
710,Andir,-6.900951833,107.5725078
711,Andir,-6.900982933,107.5724161
712,Andir,-6.901017839,107.5723282
713,Andir,-6.901077264,107.5721096
714,Andir,-6.901096371,107.572025
715,Andir,-6.901128985,107.57183
716,Andir,-6.901152279,107.5717669
717,Andir,-6.901215634,107.5717242
718,Andir,-6.901294723,107.5716902
719,Andir,-6.901379504,107.5716648
720,Andir,-6.901668317,107.571596
721,Andir,-6.901808179,107.5715547
722,Andir,-6.901927205,107.5714749
723,Andir,-6.902023496,107.5713548
724,Andir,-6.902094858,107.5712461
725,Andir,-6.902166489,107.5710876
726,Andir,-6.902243609,107.5709751
727,Andir,-6.902297395,107.5709333
728,Andir,-6.902358677,107.5709202
729,Andir,-6.902431291,107.570934
730,Andir,-6.902482916,107.5709381
731,Andir,-6.90252508,107.570923
732,Andir,-6.902604737,107.5708716
733,Andir,-6.902609183,107.5708782
734,Andir,-6.902649887,107.5709501
735,Andir,-6.902680089,107.5710157
